tconst	titleType	originalTitle	isAdult	startYear	runtimeMinutes	genres	averageRating	directors	writers	country
tt0254481	movie	Koi... Mil Gaya	0	2003	171	Action,Drama,Fantasy	7.2	Rakesh Roshan	Rakesh Roshan,Honey Irani,Sachin Bhowmick,Robin Bhatt,Javed Siddiqui	IN
tt0254927	movie	Aaghaaz	0	2000	153	Action,Crime,Drama	4.7	Yogesh Ishwar	Kamlesh Pandey,Krishna Murali Posani,Nikhil Saini,Alok Upadhyay	IN
tt0255097	movie	Deewane	0	2000	164	Action,Romance	4.6	Harry Baweja	\N	IN
tt0255111	movie	Dhadkan	0	2000	161	Drama,Romance	6.5	Dharmesh Darshan	Dharmesh Darshan,Naseem Mukri,Raj Sinha	IN
tt0255112	movie	Dhaai Akshar Prem Ke	0	2000	167	Drama,Romance	3.5	Raj Kanwar	Jainendra Jain,Raj Kanwar,Ratna Rajaia	IN
tt0255120	movie	Dil Pe Mat Le Yaar!!	0	2000	148	Crime,Drama	5.2	Hansal Mehta	Saurabh Shukla	IN
tt0255212	movie	Hamara Dil Aapke Paas Hai	0	2000	165	Action,Drama,Romance	5.5	Satish Kaushik	Jainendra Jain,Bhupati Raja	IN
tt0255309	movie	Kurukshetra	0	2000	129	Action,Crime,Drama	6.1	Mahesh Manjrekar	Ravi Shankar Jaiswal,Mahesh Manjrekar,K.K. Singh	IN
tt0255543	movie	Raja Ko Rani Se Pyar Ho Gaya	0	2000	148	Comedy,Musical,Romance	3.7	T.K. Rajeev Kumar	Mangesh Kulkarni,T.K. Rajeev Kumar,Ramachandra Shelke	IN
tt0255582	movie	Second Generation	0	2000	80	Drama	5.3	Shane O'Sullivan	Shane O'Sullivan	IN
tt0255713	movie	Zubeidaa	0	2001	153	Biography,Drama,History	6.6	Shyam Benegal	Khalid Mohamed,Javed Siddiqui	IN
tt0256534	movie	Zindagi Zindabad	0	2000	140	Drama	8.3	Sumitra Bhave,Sunil Sukthankar	Sumitra Bhave	IN
tt0256692	movie	Chori Chori Chupke Chupke	0	2001	165	Comedy,Drama,Musical	5.5	Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla	Shyam Goel,Javed Siddiqui,Neeraj Vora	IN
tt0261545	movie	Astitva	0	2000	109	Drama	7.3	Mahesh Manjrekar	Imtiaz Hussain,Mahesh Manjrekar	IN
tt0262625	movie	Bas Yaari Rakho	0	2000	88	Comedy,Drama,Family	6.4	Gopi Desai	\N	IN
